Source,Target
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Hdl_(identifier)
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Crawljax
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Elasticsearch
https://en.wikipedia.org/wiki/Web_crawler,https://support.google.com/webmasters/bin/answer.py?hl=en&answer=174992
https://en.wikipedia.org/wiki/Hdl_(identifier),https://en.wikipedia.org/wiki/Hdl_(identifier)
https://en.wikipedia.org/wiki/Hdl_(identifier),https://en.wikipedia.org/wiki/Persistent_Uniform_Resource_Locator
https://en.wikipedia.org/wiki/Hdl_(identifier),https://en.wikipedia.org/wiki/Functional_Requirements_for_Bibliographic_Records
https://en.wikipedia.org/wiki/Hdl_(identifier),https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement
https://en.wikipedia.org/wiki/Hdl_(identifier),https://en.wikipedia.org/w/index.php?title=Handle_System&printable=yes
https://en.wikipedia.org/wiki/Hdl_(identifier),https://en.wikipedia.org/wiki/Adobe_Acrobat
https://en.wikipedia.org/wiki/Hdl_(identifier),https://ar.wikipedia.org/wiki/%D9%86%D8%B8%D8%A7%D9%85_%D8%A7%D9%84%D8%A5%D9%85%D8%B3%D8%A7%D9%83
https://en.wikipedia.org/wiki/Web_crawler,https://ro.wikipedia.org/wiki/Robot_de_c%C4%83utare
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Bing_(search_engine)
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/DuckDuckGo
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Category:Search_engine_software
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Web_crawler
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Msnbot
https://en.wikipedia.org/wiki/Web_crawler,https://www.cs.brown.edu/courses/cs227/2002/cache/Cho.pdf
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Common_Crawl
https://en.wikipedia.org/wiki/Web_crawler,https://en.wikipedia.org/wiki/Seeks
https://en.wikipedia.org/wiki/Web_crawler,https://api.semanticscholar.org/CorpusID:3710903
https://en.wikipedia.org/wiki/Hdl_(identifier),http://www.handle.net/download.html
https://en.wikipedia.org/wiki/Elasticsearch,https://en.wikipedia.org/wiki/Java_API
https://en.wikipedia.org/wiki/Adobe_Acrobat,https://en.wikipedia.org/wiki/Adobe_Acrobat
https://en.wikipedia.org/wiki/Adobe_Acrobat,https://en.wikipedia.org/wiki/Clipboard_(computing)
https://en.wikipedia.org/wiki/Elasticsearch,https://en.wikipedia.org/w/index.php?title=Special:CiteThisPage&page=Elasticsearch&id=1343932458&wpFormIdentifier=titleform
https://en.wikipedia.org/wiki/Elasticsearch,https://github.com/elastic/elasticsearch
